Title,Creators,Genre,Rating,Views,Likes,Engagement,Subscribers,Release Date,Synopsis
High Class Homos,"AENGO, Momozerii",comedy,9.35,133289613.0,12966797,0.09728287679850943,1197645,2021.0,"Princess Sapphia of Mytilene is not into princes. So, when her parents start putting the heat on her to get hitched, she enlists the help of her equally gay best friend, Prince August of Phthia. But will these two royals be able to pull off a convincing sham marriage? More importantly, will Sapphia ever land a date with the castle maids? Follow these high class homos as they navigate life, love, and (occasionally) their actual jobs."
His Majesty's Proposal,"Bloomy, INUS, Seunghyun Cha",fantasy,9.2,69485744.0,5730962,0.08247680272373567,1046666,2021.0,"A broken engagement and one too many drinks are the catalysts for a mistake that will change Penelope Zecalion's life forever, as she finds herself waking up in bed with the emperor! Grouchy, foul-mouthed Penelope is reluctant to let the emperor into her heart after her first engagement went so wrong. Can the emperor change her mind and win her heart?"
Homesick,Ms. Freaky,thriller,9.78,136220437.0,9890588,0.07260722559567181,1669629,2021.0,"Rayne woke up with no memories of the apocalypse. Samael is just... a delinquent, who happened to find Rayne at a rooftop. They both ended up making a deal in order to survive in a world where cannibalistic monsters roam."
Hooky,"MÃ­riam Bonastre Tur, Míriam Bonastre Tur",fantasy,9.8,112611131.0,10780924,0.09573586468996569,1047763,2015.0,"Dani and Dorian have missed the bus of the school of magic. Now, they must find someone who teach them how to be a great and good witches... Or maybe not.â€‹"
Hooves of Death,"Gosha, Sam Bragg, Solem",fantasy,9.42,26801752.0,3047757,0.11371484222374717,325206,2019.0,"Read Hooves of Death now on Webtoon! It's the end of the world, and humanity is on its last legs against the zombie horde. Now, all that stands between mankind and total extinction are Commander Sprinkles, Blaze, Sergeant Glitter and a handful of other fierce warriors. Mythical creatures with supernatural powers and incredible determination, they have sworn to protect the human race. Yes, they are unicorns , but they are also our last hope."
Horang's Nightmare,Horang,horror,9.67,24467989.0,535089,0.021868940680004393,723578,2020.0,"Have you ever gotten that eerie feeling that someone's watching you? That when you turn off the lights, you're not alone? Read these terrifying ghost stories and try not to scream. A collection by Korea's master of horror, Horang."
House of Stars,"Lion Illustration, saltacuentos",fantasy,9.79,6159337.0,922121,0.1497110809166636,247951,2019.0,"Lily is an adventuresome girl who lives in a boring town where nothing ever happens, but when young girls who stray into the forest near her village begin to go missing, Lily is pulled into a dangerous quest - one that transports her to a strange world that exists right below her feet."
Housekeeper,"Yongtaek Chae, Yuhyun",sci-fi,9.66,9692169.0,1183726,0.1221322079711982,193381,2022.0,"AI robots are fighting against humans... for humanity.
 
The world has fallen victim to a terrible virus, which turns people into zombie-like creatures. 
The government has decided to eradicate the infected people rather than cure them. 
But, Hasty, a housekeeper AI robot, cannot give up on her master Navil. She is willing to fight... for humanity."
How to Become a Dragon,"Sam Bragg, eon",fantasy,9.77,29756124.0,5418976,0.18211296605700392,482537,2020.0,"What should you do when a 1000-year-old imoogi named Bari suddenly appears in your apartment and demands you pay for the sins of your ancestors? Help him become a dragon, of course! Young Yoo's life is on the line as he teaches Bari the ins and outs of getting along with humans in order to prepare for the Nakdong River Dragon Exam. Will Young be able to help Bari pass the exam and become a full-fledged dragon?"
How to Love,Dorris McComics,slice of life,9.51,11693944.0,705486,0.06032917551170076,124832,2015.0,"A heart-warming, heart-cooking, heart-eating, heart-digesting guide to love."
How to Survive a Romance Fantasy,"MURO, sing-nanda",fantasy,9.32,12525215.0,1701139,0.13581714964573463,501638,2021.0,"What would you do if you were reincarnated as one of the main protagonists in the romantic fantasy (""rom-fan"") novel you've been reading? Do everything in your power to keep the story on track and save the day to be crowned as empress? Make amends for all the treacherous things your villainous character did to change her fate of demise? Hone your magical powers and valiantly fight for the empire as a dashing imperial crown prince should? Umm, nah. When Yeonghui, Ji-eun, and Cheolsu find themselves in this predicament, they have other plans. Will their choices alter the course of this rom-fan world for good or for worse?"
Hwarang: Flower Knights of the Underworld,"hwieum, striy",action,9.28,1450512.0,200178,0.1380050630398094,85589,2022.0,"Seventeen-year-old Junhwi Kang, who can see ghosts, loses his memory after an accident. After passing the grim reaper’s challenge to win another chance at life, he is thrust into the underworld to live as an intern Hwarang, or Flower Knight. Junhwi is assigned to partner up with Horan, a peace officer partner, as they take on a series of investigations under the supervision of Bihyeongrang. Magicians, monsters, and legendary figures come into play in the mythical underworld. But what will be revealed when Junhwi investigates the circumstances of his own fateful accident?"
Hyperfocus,Kip Trevor,slice of life,9.04,35653301.0,4201149,0.11783338098203025,255033,2021.0,"Scenes from my life as a trans guy (he/him), illustrated!"
I Don't Want This Kind of Hero,samchon,superhero,9.74,41011845.0,3338846,0.08141174824005114,382342,2014.0,"Naga, a high school student with psychic powers, gets recruited into the crime-fighting organization SPOON. He and his teammates Hyena and Sasa work together to save the world. Can they defeat KNIFE and find world peace?"
I Get Stronger the More I Eat,"Frost Mourne, Kitaeon",action,8.97,32628023.0,2623704,0.08041259502606088,533844,2021.0,"Known as ""Pet Shop,"" Mr. Kim has the unique ability to absorb the skills of the creatures he eats. One day, Pet Shop is mysteriously transported to a magical world full of orcs, trolls, and monsters. A new world, new chow, and new skills. Now Pet Shop is determined to become the most powerful creature in the world. Follow his epic climb to the top of the food chain."
I Love Yoo,Quimchee,drama,9.76,628063235.0,38837575,0.06183704575543257,4704411,2017.0,"Dogged by pain and misfortune from the very beginning, Shin-Ae decides she wants nothing to do with people nor anything to do with romance. Although content with her unsocial, boring, loveless existence, her lifestyle is challenged after she ruins an unsuspecting strangers' clothes."
I'm the Grim Reaper,GRAVEWEAVER,supernatural,9.79,154272969.0,13745988,0.08910172721184875,1878152,2019.0,"On earth there are bad people, and then there are REALLY BAD people. If you're one of the latter, you don't just get sent to Hell, you get sent to Hell and get assigned a job collecting the souls of some of the worst people on Earth. Such is the career path of a young woman named Scarlet, who dies and is delivered down to the fiery underworld only to find herself in an entry level position asâ€¦The Grim Reaper!"
IF,"JongBeom Lee, Keon Tan",action,9.04,4817469.0,2400000,0.4981869110107403,150800,2020.0,"Hiroshi is shocked when he finds out that his imaginary friend, Enigami, isn't so imaginary after all! Then he realizes his beastly companion can battle it out with other kids' imaginary friends, and things start to get even stranger. But when these playground games turn serious and kids start disappearing, Hiroshi realizes that the consequences here might be more real than he first thoughtâ€¦"
If AI Ruled the World,"HOOPA, POGO",sci-fi,9.68,5019046.0,687830,0.13704397210147107,185380,2021.0,"Welcome to a world where artificial intelligence can drive your car, look after you when you're ill, and solve all of your problems. But all of this convenience comes at a price. AI can pose a threat when it no longer has humanity's best interests at heart. Can humans learn to coexist with AI?"
Illuminated,"Maria Nguyen, Rachel Song, WmW","informative, tiptoon",9.33,980586.0,140213,0.14298898821724967,112500,2021.0,A WEBTOON x 88rising memoir series that spotlights the experiences of Asian women in entertainment and how we can help #StopAsianHate together.
Illusions of Adulting,"Sara Zimmerman, Unearthed Comics",slice of life,5.94,5113496.0,184816,0.03614278763491748,76831,2017.0,"An ongoing dramatic, dark comedy about Hailey: A 20-something female who is trying so hard to live the California ""dream"" while colliding with the harsh reality of adult life."
Illustrated Internet,Dami Lee,comedy,9.05,14123949.0,734875,0.052030420104179076,155719,2016.0,"The internet is full of precious jokes that deserve to be cherished forever. These are my favorite tweets, Tumblr text posts, and other gems from the world wide web in comic form."
Immortal Nerd,Hanna-Pirita Lehkonen,slice of life,7.89,3037466.0,182277,0.06000956060084294,30475,2015.0,"Nokia is a young adult, living on a space station New Rauma. Nokia has just gotten their immortality and the best use they can come up with it is to browse the old internet all day long without eating or sleeping and not having to worry about dying of hunger. After three weeks of old internet Nokia's parents decide they've had enough."
