Title,Creators,Genre,Rating,Likes,Subscribers,Views,Synopsis
Elegant Desire,Kim Jong Geon,drama,6.77,410320.0,183659.0,9457630.0,What’s the chance of running into your first love again after twelve years? This is exactly what happens to Solhui after attending her frenemy’s bridal shower. What’s more? Her first love is having an affair with a married woman. But that’s not all. She meets him and the woman again when she starts a viola lesson with a new student. 
Elena,Jorge Jaramillo,horror,9.52,279051.0,126378.0,6332519.0,Web graphic novel about a larger than life love story. Every week a new page will be unveiled.
Elf & Warrior,"AC Stuart, Victor Rosas II",fantasy,9.68,2656223.0,238729.0,29575375.0,"Elf & Warrior follows the adventures of a young, optimistic Elf named Basri and his Uncle Hector, a reformed (sort of) criminal in a unique fantasy setting full of strange monsters and magic."
Emerald Midnight's Lover,Baeck Jack,drama,9.04,112622.0,69685.0,1041416.0,"The year is 1887 in the rolling hills of the French countryside. The estate of Viscount de Rougemerle gently basks in its verdant glory, a beacon in the twilight years of the aristocracy. With the return of the viscount’s wayward son Cameron, however, the tranquility of this stately home threatens to shatter into scandal. It falls upon Edgar O’Grady, an Irish butler in service of the Rougemerles, to maintain decorum in the household, all the while protecting his childhood friend June and his master’s daughter Lady Victoria, as each furtive glance gleams the emerald green of envy…"
Emperor Hunt,KAN,fantasy,9.50,501408.0,206030.0,4083829.0,"Earth is destroyed, and the sole survivor is the immortal being Seul Yun. After losing the only person she ever cared about, she is set out to seek revenge on the one behind it all – the emperor Horson. However, Seul finds herself lost in a strange world called Hetra. There, she must learn to harness her new abilities and fight against a new type of evil. Will Seul be able to hunt down the emperor and carry out her revenge?"
Emperor of Solo Play,"Dedart, S.sin, silvering26",action,8.67,10051.0,39401.0,164201.0,"Betrayed by his guild and defeated by a top player, Hyrkan loses everything. Before he can get revenge, a fatal accident ends his life—only for him to wake up years in the past, back at the start of Warlord. Now, with his memories intact, he’s determined to rise to the top alone. But in a game where power means everything, can he truly survive without any allies? The Emperor of Solo Play is back, and this time, he’s playing by his own rules."
Endless Summer,"DAL-RO, HEYU, Solbangul",romance,9.03,216980.0,183143.0,2925790.0,"After being joyfully reunited with Jinhan Ryu, the best friend of her brother, Hayeon Ji’s day immediately takes a turn for the worse as the two witness her boyfriend with another woman, right in front of them.
After a series of awkward, coincidental encounters between the two, Hayeon and Jinhan begin to get reacquainted with one another. But after spending some time together, Jinhan seems to begin seeing her as more than his friend’s little sister.
"
Enoch: The Shining Tree,Chiroyugo,action,9.32,83357.0,49871.0,723427.0,"""You shall live and suffer for eternity, trapped within your armor, prisoners of time.""
Enoch's life is turned upside down when his entire family is slaughtered overnight by the cursed knights.
The knights wander, sentenced by the witch's curse to a fate of endless empty slaughters.
Enoch trampled under their trail of blood, burns for a vengeance that outlasts, outdoes eternity.
Who will be whose fate? Who is the one that orchestrates their conflicting fates?"
Enrolling in the Transcendent Academy,"Dupacitapa, Eojjeoda, KyuJeanne",fantasy,9.51,2312761.0,354788.0,28909939.0,"After a hundred years of monsters, it’s become the norm to train at hunter academies if you want to become a professional monster hunter. And that’s just what hard-working orphan Seojun Kim dreams of. But after a freak accident dashes his hopes, ads for the mysterious Transcendent Academy pop up on his phone, offering him a chance to train virtually with history’s most legendary warriors.
As he levels up, he’s soon caught up in the world of hunter academies, dungeon raids, and competitive tournaments. But the more he learns, the more questions he has about the people surrounding him, his past, and the secrets of the Transcendent Academy.
"
Epic V,"Ardtron, GNICE",comedy,5.79,21703.0,6323.0,579275.0,"Epic V is a series about three friends, their snake, and epic V-necks. Sometimes our friends can be obnoxious, embarrassing, or nosy, but we accept them for who they are. Celebrate the awkward times of boyish friendship with Epic V!"
Epilogue,Cho Seok,thriller,9.48,206509.0,80752.0,1617569.0,"What would you do if you discovered that the third-rate story in your free daily newspaper was actually an account of someone's murder? As Haesu Choi goes through his daily morning newspaper, ""Rotary N,"" to look for jobs, he stumbles across an ongoing serial thriller called ""Epilogue."" At first glance it just seems like pulp fiction, but as the story progresses, the characters turn out to be real-life victims. Get ready for a series full of twists and turns, with murder around every corner."
Eros Conquers All,ameliori,supernatural,9.62,430090.0,192162.0,3471736.0,"Once feared among gods, Eros, the God of Love, has resigned himself to living quietly amongst mortals, feeding off their desire. But with the loss of his old weapon, the arrival of new mysterious gods and a fateful prophecy, Eros may have no choice but to become the great, blood-winged god once more."
Escape Room,10PARK,thriller,9.65,3149968.0,491117.0,30210772.0,"Overly rational. Sociopathic, even. Sean's unfeeling personality consistently drives people away from him. That is, until he wakes up after a night of heavy drinking in... an escape room? Now he must use his unique mind and join hands with other players to survive sadistic games of life and death. The only way out is to escape!"
Escape from Oz,Kelly Angel,comedy,8.79,111292.0,34548.0,726385.0,"Dot and her dog Toto crash land into Oz, a city famed for its nightlife, its lack of exit, and its vast amount of dangers. Together they forge their way down the yellow brick to get to the Wizard who can hopefully help them leave this crazy place!"
Escaping the Illusion,"Poppy, Soohee",drama,9.44,47929.0,72504.0,543924.0,"Beloved idol Yoonjae Ahn, renowned for his impeccable charm and striking appearance, secures a coveted spot on a popular variety show, boosting his solo career. Just as he’s savoring success, his forgotten past resurfaces, threatening his celebrity status. Can Yoonjae shield his career from the looming secrets? With stakes at their highest, will his charm and unwavering determination prove sufficient to conquer the ghosts of his past?"
Eternals: The 500 Year War,Marvel,"super_hero, superhero",7.35,72361.0,165557.0,1094814.0,"An international, all-star creative team of writers and artists presents ETERNALS: THE 500 YEAR WAR! Follow the Eternals in their past encounters against the Deviants in this original 7 episode series! Learn how the Eternals interacted with different cultures of the human race across time, gifting humanity with cultural artifacts while also trying to keep them safe from the Deviant threat. It’s a battle that spans centuries, with the fate of the planet at stake!"
Evelyne and the Occult,InksOwl comics,supernatural,9.36,2179501.0,407813.0,17088955.0,"Enamored with the occult and the supernatural, young Evelyne is determined to make contact with whatever might be hiding beyond this world. Little does she know, this dark path will lead her far beyond her wildest dreams. Join Evie and her friends Leo, Ana and Sam on their fun and spooky adventures and see how far their curiosity will lead them."
Even When I’m Dead,"BestFriend, Han Yoon seol, MIKA",romance,9.00,515726.0,246993.0,5977871.0,"On the day of my wedding, I found out that my lover was cheating on me with my best friend. I died because of their betrayal, and when I opened my eyes again, I returned to the past. I thought this was a blessing from God, a chance to take revenge. But this return was neverending as I kept dying either from their betrayal or in an accident. After my repeated death, I realized that accidents did not cause all of my deaths but that I was being murdered. So this time, I faked my death and left everything behind to catch the murderer, who was killing me repeatedly and to take my revenge finally."
Everfallen,Alai Cinereo,fantasy,9.15,278203.0,162626.0,2212065.0,"As a fehru-alchemist, Dave should not exist, but then, a lot of things should not exist. After a disturbing turn of events, Dave finds himself returning to Rhi-Daton, the very city he escaped from years ago. Meanwhile, a strange woman with mysterious powers joins forces with the merciless House Dawn to intercept a peculiar weapon before it falls into the wrong hands. Things take a turn for the worse when the city unexpectedly closes its gates. Trapped inside with no way out, Dave runs into Leto, a fellow alchemist. Together, the duo must uncover the secrets of the past and prevent the disaster from unraveling further than it already has."
Everything is Fine,Mike Birchall,horror,9.73,7465642.0,1566494.0,110929748.0,"Sam and Maggie are a normal couple, in a normal house, in a normal neighborhood. There is nothing strange about their heads, their neighbors or their sweet little dog. Everything is Fine."
Everywhere & Nowhere,"Merryweather, PeaCH",comedy,9.58,11914152.0,811897.0,105625730.0,"Based on two of Shakespeare's most beloved supporting characters, Everywhere and Nowhere follows the time travelling adventures of best friends Anne Guildenstern and William Rosencrantz, as they explore, fight and flirt their way through history. Their first stop is Ancient Greece, where the pair find themselves at the right hand of a very charismatic Greek leader loved by men and women alike, who also may just be bringing his people to the brink of war."
Ex-Love Review,"La Hee, Pyeonggang",romance,9.28,345736.0,356276.0,5539678.0,"Giju is highly competent, but when it comes to love, she always seems to choose the wrong guy.
This time, she thought things would be different. But again her faith is betrayed, and during a heated argument, she ends up falling down a flight of stairs.
When she awakens in the hospital, she starts seeing suspicious ‘relationship reviews’ of others!
‘Love reviews written by their former exes…?’
Could this strange phenomenon be able to save Giju’s love life?
"
Exchange Student,ultrafrog,drama,8.69,596592.0,161551.0,6286759.0,"After Yongcheol's mother suddenly faints on the day of her college entrance exam, her world is turned upside down. She starts working to pay for the hospital bills, but one day after work, a university jacket randomly lands on top of her head. Inside the jacket, she finds the ID card of a student named Chaeyeon Lee. One thing leads to another, and she starts impersonating that student. While things seemed all right initially, the real Chaeyeon finally shows up. How will Yongcheol explain her way out of this, and does this mean the end of school for her?"
Extraordinary Attorney Woo,"HwaUmJo, LeeYeJi, Moon Jiwon, Yuil",drama,9.65,826784.0,292371.0,6802443.0,"The adaptation to the live drama hit!
Woo Young-woo is a rookie attorney on the autism spectrum at one of Korea’s most prestigious law firms, Hanbada. Using her encyclopedic memory and creative thought process, she can find unconventional solutions to the toughest cases — but can she succeed while facing discrimination and stigma?
"
Eyes,"Jeong Summer, Youngsoon Yang",fantasy,9.66,2400000.0,52259.0,2386132.0,"""Juan Seo"" is a high school student who was born with just one eye. He has an uncanny feeling that someone is watching him every day at school. Even though he's scared to death, Juan can't help but be curious... Until one day, he learns of the ""avian humanoids"" and falls into a state of great confusion. In the midst of this blood curdling tension, the war of the avian humanoids is set in motion!"
FAMILY MAN,Pillwon Jung,drama,9.72,155030.0,42352.0,2759218.0,"Gang-ho is a laborer at the local factory, sleeping just 3 hours a day and working like a horse. But when his face is burned in an accident at work, he's left unemployed. Scared of his daughter's reaction to his burns, Gang-ho decides to transform into the superhero, Gugu-Man!"
FINALITY,"Colleen Doran, Warren Ellis",mystery,8.11,25737.0,34664.0,357579.0,"FELICITY ROCKALL was the world's greatest criminal investigator. She retired at the age of 35 after spending ten years working for international criminal courts. A young agent from the White House's Intelligence Support Activity, AMY ASH, is reluctantly sent to get her. There's been a murder, one apparently insoluble, and Rockall's skills are required one more time."
FLOAT,"Cj Joaquin, Kate Marchant, WmW",romance,9.09,1030546.0,228898.0,12047339.0,"Amidst the chaos of her parents’ bitter divorce, Alaskan teenager Waverly Lyons trades in her textbooks and parka for a summer of suntans and short-shorts with her aunt in Florida. A fish out of water even back in the snow, Waverly is determined to be everything she isn’t back home: cool, fun, dare she even say part of a group? There’s just one problem.
She doesn’t know how to swim.
Enter Blake—the super-tan, super-hot, super-arrogant boy next door who seems to hate her guts. When he discovers her secret, Waverly is positive that her perfect summer is perfectly over. But then Blake does the unthinkable. He offers to teach her."
FLOWAR,Hongjacga,"sci-fi, sf",9.48,291361.0,92722.0,2200206.0,"""Wake up."" These are the words Sora Han hears right before her heart stops and then begins to beat again. The first and only person in the world to successfully have a plant heart transplant, Sora has felt an inexplicable pull to go to outer space ever since her operation. At 25 years old, she finally gets the chance. But why does everything on the planet she travels to seem familiar? Sora learns more about herself on this journey than she could have ever imagined."
Fake Humans,"0-hwan2, Banyan, kim-badak",thriller,8.34,332976.0,138886.0,2539395.0,"Having escaped her abusive mother, twenty-year-old Ji-a lives a modest life with her little sister, Su-a. When Su-a does not return from her field trip under sinister circumstances, Ji-a vows to do anything she can to get her sister back. As she and her high school friend Wonseung delve further into the mystery, they find that there might be a larger conspiracy under the surface -- a tangled web that includes a cult, a mystery, and powerful figures that might shake South Korea to its core."
Fallen to Paradise,"BY, Wonderdream, YoonJu",romance,9.48,1161557.0,324862.0,12383799.0,"Ange, the daughter of Duke Glaster, believes her life is all planned out as she is set to marry Philip Cardiner, the rightful heir to the throne. However, her plans are disrupted when Philip's brother, William Cardiner, schemes against him and removes him from the line of succession. In order to secure his power, William forces Ange to marry Aiden Fitzroy, an illegitimate child born between the emperor and a commoner. Will Ange learn to love the humble stranger she was forced to marry?"
Falling in the Blue,SimzArt,"sci-fi, sf",9.30,141928.0,88300.0,1013701.0,"Special delivery to planet Mars! Intergalactic delivery service Warp Inc. is expanding into the outerreaches, and someone has to drive the long-haul trips. But will two kids and a Kiwi bird in a broke-down spaceship really be able to make their delivery deadlines on time? And, more importantly, will they be able to uncover the sinister plot hidden inside their classic cardboard boxes before it's too late for them...and the universe?"
False Paradise,samchon,sf,9.68,51941.0,35030.0,407227.0,"High school student Sanho, blessed with extraordinary intuition, finds himself caught in a battle between monsters only he can see, nearly losing his life. He awakens in a world where monsters keep humans as pets. Now trapped as a pet himself, Sanho desperately searches for a way to escape and return home. Will he be able to find his way back home?"
Fantasy High,"Alex Brennan-Dent, Denaseey, Derek V. Song, Dimension 20, Nisaa, SZ, Starpiper, WmW",comedy,9.80,112909.0,168023.0,1135997.0,"When girls at Aguefort Adventuring Academy go missing, six heroes who meet in detention band together to investigate their new high school for clues. This gang of self-anointed “Bad Kids” sets off on a wild journey, encountering vicious corn chowder and debaucherous wizards, among other perils that threaten their lives and the world they know and love. Based on the hit Dimension 20 show helmed by Brennan Lee Mulligan."
Fantasy Sketch - The Game,"Beom Sick Cheon, Jaekyeong Um, SICK","sci-fi, sf",8.78,104695.0,53584.0,1673867.0,This video game would take you to the bottom of the world.
Fast Forward,"Hong Jun Ki, Junki Hong, PORTO",thriller,9.63,1069182.0,254800.0,7649873.0,"The final goal is to be the master of time. But in order to become the master, you must kill and steal. The universe has given powers to a select number of people. The only problem is, you can get your powers taken away... along with your life. The keepers of time will need to protect their powers or pay the ultimate price."
Fatal Reset,Godfrey_Narcisso,action,9.22,25957.0,37521.0,346332.0,"Yohan Silang is on a mission of revenge to destroy the demon lords who massacred his village. In order to achieve his goals, he must rise through the ranks to become the most powerful Seeker in the land. The only thing that can stop him is death. Or can it? When dying is just another opportunity to grow stronger, Yohan will do whatever it takes to have his revenge."
Faust,Arechan,supernatural,7.99,616099.0,84131.0,9136758.0,"Your soul is the most valuable asset you own, and even if you don't want it, there are others who will gladly take it off your hands. This could happen to anyone, but we will follow the story of Gabriel, a young adult who, in his darkest hour, may have found a good use for the soul he didn't want any longer."
Fictional Skin,Kris Nguyen,drama,9.78,1049979.0,212245.0,7675604.0,"Finn just wants to draw his comics in peace. Not everybody needs to know he’s a closeted nerd. But when his cousin, Vivi, claims that a video game character look-alike walked into her classroom, Finn's comics and personal life begin to take a strange turn."
Find My Crown,MUTE,romance,8.48,48360.0,83052.0,699124.0,"Ari is a headless grim reaper who has been guiding souls to the afterlife for hundreds of years. She has always felt unseen and unloved because no one can see her face. That all changes when she encounters Ucheol, a popular actor who can see her head and agrees to help her search for it. Will Ari find her missing head and reclaim her identity, finally freeing herself from a lifetime of loneliness? 
"
Finding Fiends,LizardxLizard,comedy,9.74,2014335.0,158659.0,14290931.0,"Finn wants nothing more than for his BooTube Series 'Finding Fiends' to reach the masses. And a “fiend"" he finds when he hits Dave with his car. Now with amnesia, Dave is convinced to join Finn’s crew in finding the paranormal. Hunting ghouls and cryptids should be easy for this dynamic duo: Finn being a cryptid expert and Dave being...the Mothman!"
Finding Wonderland,"WmW, eon, roousuu",fantasy,9.53,2700000.0,294107.0,6608963.0,"In Wonderland, Alex is the Ace. When tasked with hunting down the nefarious Black Knave and his scourge of Nightmares, Alex begins to have visions of another world beyond: our world. In reality, Alex is a normal teen who has been placed in a dangerous simulation to draw out a scientist's lost son. And time is quickly running out."
Fingers,"Ssuljak, jeongsik Park",thriller,8.79,181070.0,70749.0,1663013.0,"One finger in exchange for one hint -- this is the price to pay to solve the puzzle. Eight creators of an entertainment news app find themselves in a locked room after a drunken party to celebrate their success. They’re given a puzzle to solve by 7 AM the next morning, or else everyone dies. However, solving the puzzle isn’t easy. They’re desperately in need of hints, but at the cost of cutting off their fingers. Who is their mysterious assailant and can they escape in time?"
Firebrand,"Claudia Aguirre, Jessica Chobot& Erika Lewis",supernatural,8.91,317013.0,165955.0,5002486.0,"Natali Presano never fit into her father's perfectly human world: politically ambitious, he turned his back on her just when she needed him most. Losing her mother to tragedy as a young child, Natali fled the safety of home into the arms of her aunt Selena, the mysterious guardian of a magical order waging a centuries-old war for survival in the mountains of Spain. 
  
 Natali, now in her 20s, has followed in her aunt's footsteps, becoming a powerful but rebellious witch in her own right. Returning to Seattle, she finds herself caught between a cruel modern world and the ancient evil threatening to destroy it."
Fist Wielder,Studio Ace Productions,action,9.11,185925.0,67367.0,1432222.0,"What's a teenager to do when transported from the suburbs into a monster-ridden world? Join the monster slayers, of course. Leinna's never stopped looking for her mom since she disappeared 10 years ago. So when she finds signs of her in the land of Roxaria, she's got to follow the trail, even if it means joining a war in the process. Armed with just her fists, Leinna's got a lot of leveling up to do!"
Flagbearer,Cyartlee,action,9.10,113915.0,64438.0,1316649.0,"To hold a flag, to be a Flagbearer, means being known as the strongest, to live an absolute existence and be an absolute symbol. These are the values Sey remembers when he falls onto a new world. Not knowing anything except that a mysterious crystal-encased flag waits for him, the flag his father once held, he takes hold of it and ventures forth with a fated friend not knowing that the world will soon change as his tattered flag resurfaces onto a new era."
Flawed Almighty,"Carnby Kim, RH Song",supernatural,9.60,2246307.0,247438.0,15759959.0,"Do good or go to hell. The conditions of his new curse seem simple enough for once-hopeful hoodlum Jeonji Kim. Or so it seems when his perky guardian angel shows up on his doorstep one day and heals his limp. But will simply going through the motions of helping people be enough to appease a petty god with a grudge?
"
Flawless,Shinshinhye,romance,9.45,2515281.0,404344.0,25260975.0,"Sarah is a tough girl who prides herself for being independent. One day, after fending off several boys harassing her in the street, she meets Elios, a young blind man her age. She is immediately charmed by him, though he maintains an air of mystery. Has Sarah met her first love? Is everything what it seems?"
Floating in My Mind,hcy,supernatural,9.18,517895.0,161848.0,3750671.0,"One summer day, Sandeul returns to Garam’s small high school. Garam doesn’t really remember him, although they used to be friends when they were little. Sandeul is outgoing, handsome, and popular whereas Garam is a shy social outcast, ignored by all her classmates. However, that mundane summer changes when Garam finds out about Sandeul’s secret. And Garam will not be able to forget it, because Sandeul will keep floating in her mind...
"
Flow,Honey B,fantasy,9.75,3031831.0,726761.0,66329085.0,A fantasy comic about a boy's destiny that starts to change as he receives a gift from his guardian god.
Flower Pot Crew,Cute Prawn Studios,drama,8.29,61878.0,22325.0,516283.0,"Casper's father was a father only in name -- the man never showed him love, and his mother had mysteriously disappeared. Knowing how to care was never a priority, so being part of a gang was perfect for Casper... until they decided to sabotage him. With no money, friends, or family, a cheery Ben suddenly shows up in his life. As their story begins in sunny Singapore, will the cold-hearted Casper escape his tortured past... and finally learn how to love?"
Fluffy Boyfriend,Mihi,supernatural,9.11,5012968.0,1400000.0,95409064.0,"A cursed girl's life changes forever when her cat, who lived with her quietly for a long time, shows her his real human form. Fluffy Boyfriend is a love story in a world of half-animal humans secretly living in plain sight."
Fluidum,"GirlsOnFilm, ValeriaM",drama,9.02,1764115.0,201181.0,12108177.0,"Jesse was born like every citizen in the Fluidum universe, spending their first 20 years shifting seamlessly between a male and female body. Now with only one year left until they must choose one body for the rest of their life, Jesse is questioning the unquestionable... why decide at all?"
Following Eunju,Cherry Lee,thriller,9.30,227434.0,72827.0,1838351.0,"""This series contains themes regarding mental health, sexual violence and child abuse that may not be suitable for all readers. Viewer discretion is advised. If you or someone you know is struggling or in crisis, please reach out for help at Crisis Text Line (http://crisistextline.org/)."" Minjun sets up a fake profile to get Eunju, his crush, to accept his follow request on social media. Now, with her daily activities and whereabouts available at his fingertips, he uses this information to move in as her next-door neighbor. But little did Minjun know, that Eunju’s life isn’t anything like what she posts online–this sends him down an unexpected path, where he learns that following Eunju turns out to have its consequences."
Fool Me Twice,JiJi,romance,9.02,287989.0,83016.0,2840161.0,"They say freshman romance can make or break college life. So it was for Min Kim, whose heart was shattered two years ago by beautiful upperclassman Bora Kwon. Min re-enters college after his military service hoping for a fresh start, but as luck would have it, his old flame has also just returned from a long leave of absence. As he struggles to bury lingering feelings and move on with his life, Min encounters Jina Bae, the firecracker-next-door who begins to find a place in his heart.

"
For My Derelict Favorite,"Kim Seonyu, Kimyong, Ryuho",romance,9.79,6611763.0,968575.0,73024323.0,"What happens after the story ends with a “happily ever after”? 
When Hestia enters her favorite novel as a side character, she happily fangirls from the sidelines. Thinking she’ll return home when the story reaches its end, Hestia finds that the only thing awaiting her is the tragic death of her favorite character.
Now miraculously restored to the day of the ending, Hestia decides that she’ll no longer spectate from the sidelines – instead, she’ll save her derelict favorite! 
"
For the Princess Who Will Disappear,"942, Rimha, seodamyeon",romance,7.97,103639.0,93617.0,1426260.0,"You’re saying that I, a barmaid who grew up on the streets, might be the princess…?!
After pawning off a necklace, Sasha finds herself embroiled in a game of politics and enters the Imperial Palace as the long-lost Princess Anastasia. The secretive romance between Sasha, a shrewd and daring back-alley-raised “princess,” and the stern Duke Lascan, fiancé to the missing princess who vows to stay by Sasha's side, unfolds!
"
For the Sake of Sita,Haga,romance,9.53,366874.0,262851.0,9411048.0,"A medical student passionately falls in love with a fallen goddess during his volunteer abroad in Nepal, and he desperately tries to fight off destiny to save his love."
For the Third Time,"Got W, NARA",romance,9.25,944676.0,335448.0,8659906.0,"Dohee is too busy girl-bossing her way up the corporate ladder to care about love. Her ability to randomly time loop makes her professionally successful but also renders all relationships meaningless. What's the point when she'll have to restart everything at some point? That all changes when Joonwon, her annoying new boss, reveals that he can time loop too. Though she cringes at the mere sight of him, he's also the only person who understands her. Will they learn how to find solace in each other, or will their professional friction mess up their one chance at love?"
Forest of Humans,Junho Hwang,thriller,9.53,385905.0,124853.0,3183246.0,A secret experiment on serial killers conducted in the woods? What could possibly go wrong? Follow one young researcher's descent into madness and self-doubt as she attempts to escape a locked facility with ten bloodthirsty murderers. Will she make it out with her humanity intact?
Forever After,"Hannah Patten, JEON Hoyun, JEON Segi, Violet Matter, WmW","comedy, fantasy",9.37,3871843.0,425034.0,25915660.0,"Robin just wants an easy life. Land a prince, live like a princess; it worked out for Cinderella. Self-respect need not apply. When her wish to live out a real-life fairytale is misinterpreted by the Fates, she finds herself in the storybook realm of Forever After, only she's not a princess at all! Cast as the Prince, Robin must fight her way through the broken stories of her youth and restore their happy endings if she ever hopes to return home. Some things in Forever After are not quite as they were written, and Robin is not the only one racing through the tales. Stuck with all the responsibility she never wanted, Robin could be the hero to save them allâ€”but not if the Wicked Witch has anything to say about it."
Forged in Flames: The Piece Maker,"Mozza, SSUNG",fantasy,9.08,61400.0,30519.0,546874.0,"It’s red, hot, and burning with flames!
Sage is a young boy from a small village who dreams of becoming a renowned Piece Maker like Edmond Dantes. But when his antics to help others with crafting skills get him in trouble with the local mercenary gang, a trio of rowdy blacksmiths who call themselves the Red Pepper Guild show up and come to his aid.
He joins the Red Pepper Guild in their quest to solve the mystery of strange dungeons and mana stones, but can he survive the battles and the blazing dishes his eccentric guild master cooks up?
"
Four Leaf,Lumaga,fantasy,9.72,2251544.0,239667.0,16059721.0,"Lupe hasn't been able to adapt very well to the new schoolâ€¦ though she hasn't really been able to adapt to anything ever. Four Leaf is a story about a bunch of dangerous magical girls, but most specially about one not-at-all-magical girl."
Fray,GO100,action,9.49,365391.0,109657.0,2921638.0,"In a world filled with demons, only knights blessed with miracles can fight against their tyranny. During a moment of desperation, Magpie was given a miracle, the one and only flame that can kill demons. But that very flame turns its owner into a demon that thirsts for ashes…
“Put in the firewood, if you don’t want to turn into a handful of ashes.”
"
Freaking Romance,Snailords,romance,9.76,21426194.0,3402727.0,290053559.0,"A sexy supernatural story about being out on your own, finding your dream apartment and discovering that your new place is haunted by a handsome spectral stranger from another dimension. Sure, HE can't see you and YOU can't touch him, but who said every relationship starts out perfectly?"
Friday: Forbidden Tales,"BAE jin soo, Bae Jin-Soo",thriller,9.18,594714.0,196710.0,14190662.0,"Every Friday, forbidden tales will be revealed."
From Morning to Night,JiEun Son,fantasy,9.32,316829.0,140856.0,2323387.0,"When the town of Night relocates all of the townspeople to build a temple for its goddess Obscurity, 12-year-old Mane and 9-year-old Nox start a new life in the neighboring town of Morning. Trouble awaits them when Nox vanishes as if by magic, and Mane turns to Morning's goddess Lumiere for help. Told that he must vanquish Obscurity to save his kidnapped sibling, Mane is given the body of a grown man and sent on a perilous journey. Will Mane be able to save his sibling in a world where nothing is as it seems?"
From Old Country Bumpkin to Master Swordsman,"Kazuki Sato, Shigeru Sagazaki, Tetsuhiro Nabeshima",graphic_novel,7.66,16137.0,36557.0,218062.0,"Middle-aged Beryl Gardenant has only ever accomplished one thing: running a humble sword-fighting dojo in the quiet countryside. But when he’s paid a visit by his former pupil, Allucia, he discovers that she has become an elite commander—and she’s hardly the only ex-student who’s a renowned warrior! Now forced by Allucia to become a special instructor to the strongest order of knights in the kingdom, can Beryl reach his full potential even though he’s an old man?"
From a Knight to a Lady,"Hyerim Sung, Ink.",fantasy,9.69,8889486.0,978368.0,88119713.0,"Estelle meets her untimely death as a valiant knight of the Kingdom of Ersha. But death is not the end for Estelle -- three years after her demise, she finds herself reincarnated in the body of Lucifela Aydin, the spoiled and cold-hearted daughter of a count in the Empire of Jansgar. To her dismay, she finds that her country fell to Jansgar years ago, and that she is now betrothed to Zedekiah Heint, the son of a duke and her adversary in her previous life. Can Estelle discover the truth behind her death while attempting to navigate her new life as Lucifela?"
Frozen Hearts,HWIYO,fantasy,9.45,260728.0,144966.0,2509794.0,"Hiding her identity as a Snow Maiden demon, Seolha has carved out a life in disguise among humans. However, her life changes forever when she catches the interest of the Northern Prince, a man known for hunting down and killing demons, and agrees to become his bride. Will these two be able to overcome their differences and live happily ever after?"
G.O.D.,blaukornbrot,drama,9.15,230096.0,115248.0,2290262.0,"In a world plagued by a mysterious infection that grants superhuman abilities while affecting the mind, a seemingly ordinary boy named Ben is drawn into the chaos. Little does he know that there is more to him than meets the eye, and his destiny is entwined with the fate of humanity."
GANDA: Night Defender,"Linka08, Nikki Dibya Wardhana",action,9.67,75337.0,46138.0,516495.0,"The cheerful but clumsy college student Rika encounters constant misfortune in her normal life. When a missing report forces her to break the school’s rule against setting foot on campus after 9 pm, things take a turn for the worse. She soon finds herself under attack by an evil spirit known as a Djinn! Fortunately, Ganda, The Night Defender, comes to her rescue. To show her gratitude, she decides to be a Night Defender’s assistant. But does she have what it takes?"
GOSU,"Giun Ryu, Mun Jeong Hoo",action,9.85,6537072.0,767479.0,96730077.0,"When his master dies, Gang Yong pledges to avenge his teacher at all costs. After training his martial arts skills in seclusion, Gang Yong sets off to hunt down the traitors and make them pay! But when he gets to town, he discovers they're... already dead? Well, what's he supposed to do now?!"
Game Master,"Akaogi seki, hibnkuma",fantasy,9.11,100514.0,77563.0,1056881.0,"""Gamemaster,"" a high school streamer, dedicated his life to beating the supposedly unbeatable game ""Hero's Destiny."" Finally succeeding after ten years, the realization that he's wasted his life is short-lived, as the game asks him to keep playing—only for him to wake up inside the game after he agrees, in the body of Callix Szcecin, the meek young son of a count. Together with Lyla, the maid and assassin hired by his stepmother who failed to kill him, Russel, the loyal knight, and Kraut, a young knight with much potential, Callix must survive the game again, in person."
Garden Club Detective Squad,"52chu, Bryan Arfiandy, Nikki Dibya Wardhana",mystery,9.74,1100321.0,207731.0,6165869.0,"Gardening and solving crime aren't what straight-A student Yeon Han thought she would be focusing on at her new school. But when she discovers a notebook that contains clues to a 15-year-old murder mystery, she and the other members of her new gardening club realize the murderer not only has access to the school -- they probably work for the school. Can the gardening club squad figure out who committed the murder even though the principal and their teachers seem desperate to cover it up?"
Garden of the Dead Flowers,"Corbenyx, Sero",thriller,9.39,313886.0,132209.0,3664607.0,"When she wakes up, Mila immediately notices that she has been inexplicably transported to the year 1940, during the time when the Dutch Colony was reigning supreme in Batavia. Confronted with this perplexing predicament, Mila is compelled to find a way to return to her own time. Yet, her efforts take an ominous turn as she stumbles upon a shocking scene—a man, her very own grandfather, committing a heinous murder in his garden, where he proceeds to bury the unfortunate victim amongst his flowers."
Gates of Hell,"Dennis Culver, Yuki Saeki",thriller,8.18,202000.0,77511.0,1749517.0,"Jennifer's life completely changed after her mother died. Her old cheer squad and ex-boyfriend made that very clear as she fell from their social ranks. It wasn't until she discovered her mother's old spellbook that Jennifer got her second chance: to find her mom's soul, and tell her ""I love you"" one last time. But when the spell opens a window to Hell; she doesn't find her mother on the other side- but instead a handsome Devil Prince who may hold the key to unlocking her new abilities..."
