Title,Genre,Creators,Views,Likes,Subscribers,Rating,Release Date,Schedule,Synopsis
A Spell for a Smith,fantasy,ArtSasquatch,15755166.0,2420447,353282,9.85,,Saturday,"A shy witch in her quiet forest cottage. A surly dwarf in his blacksmith's forge. Both seeking solace in their respective refuge, but both aching for more. Though drawn to each other's kindness, they can't deny the gentle chemistry simmering beneath their every interaction... just as their secrets do.

This series contains themes regarding anxiety, mental health, and self-harm that may not be suitable for all readers. Viewer discretion is advised. If you or someone you know is struggling or in crisis, please reach out for help at Crisis Text Line (http://crisistextline.org/). "
A Summer Night's Dream,romance,"Kan, Kim su bak",19722171.0,1849855,551272,8.07,2021.0,Wednesday,"Have you ever wondered if the person you like is dreaming about you? Teacher Yeoreum Han doesn't have to guess -- she can make it happen, with her ability to walk into other people's dreams. She can even link the dreams of two people together, and use this ability to play Cupid for her students. But her matchmaking goes awry when she enters the dream of Si-u Park -- a lucid dreamer, who realizes that Yeoreum is walking into his dream. Si-u and Yeoreum's lives become intertwined after this incident, weaving a tangled web of love, friendship, and dreamers at Hanseo High."
A Useless Villain,action,"ODI, Yeoul",11621852.0,1278937,458667,8.68,2021.0,Monday,"High-school student Dongjin Kim seems like a typical moody teenager, but underneath it all, he's a powerful psychic ""villain"" who aims to destroy humanity. But there's a catch -- every time he uses his powers to kill, he is thrown back in time. Trapped in this time loop, Dongjin tries to narrow down the culprit by doing the one thing he knows: killing those around him. Will he be able to escape from the time loop and achieve his goal as a villain?"
A Whirlwind Campus Affair,drama,Uiyoung,15772738.0,2146871,292004,9.4,2022.0,Saturday,"Rumor has it that Baram Oh had an affair with her married art school professor. It’s been four years since that debacle, and now she’s back at campus to try and enjoy her college life. But she’s not the only thing who’s returned: there’s rumors of a water ghost roaming the halls, and it just might be following her around."
ANT,thriller,Jaehee,2048062.0,169852,92535,9.22,2022.0,Monday,"They live under our feet... 
Sihwan Kim decides to stay at Dabin Park's house for a while. Little does he know that unidentified ants dwell below...
Through an experiment, a monster-like ant creature is born and begins to kidnap people. Will Sihwan and Dabin, who are now caught up in the incident, be able to escape after twists and turns?"
AXED,comedy,"Emi MG, Shren Patel",39748482.0,4084549,492617,9.64,2019.0,"Wednesday, Sunday","Meet Axelia. Since she was a little girl, all she's ever wanted to do was become a Monster Hunter. Tough and tenacious, she worked hard to achieve her dream. And then on the day she graduated from Monster Hunter school, with her whole professional life ahead of herâ€¦the world declared eternal peace between monsters and humans. Well then. Now, with a useless degree, and no other viable job skills, Axelia must take on any job that will have her. Alongside a wisecracking, underachieving demon and pretty wood nymph whose roots don't quite reach the soil, Axelia is determined to find the adventure she craves , even if it's at a soul-crushing minimum wage job. Girl's gotta eat, right?"
About Death,drama,"Hyeono, Sini, sini",6500265.0,409767,147317,9.83,2014.0,Saturday,"At the border between life and death, someone is waiting for you... ""How would I had time to think about death when I haven't yet figured out life...?"" About Death is a collection of poignant conversations on the inevitable rhythm of life and loss."
Absolute Regression,fantasy,"JP, PARK JIN HWAN, Y.H.JANG",3470094.0,343971,179043,9.76,,Saturday,"The past has changed, but like a fiery comet, he still comes. Mugi Hwa, the one without equal, slashed through Murim's skies with his sword, toppling every lord who dared to face him–even Cheonma, Mugeuk Geom’s father.  But Mugeuk didn’t accept defeat. Instead, he turned to the forbidden: a time-bending ritual that hurled him into his own past. Now, retracing his steps, he races against the clock until Mugi emerges once again. But this time, it's not just about power, but mending old wounds and forging new bonds to unite his people and prepare for the bloodtide to come.
"
Absolute Reign,action,"Y.H.JANG, sidae",1015767.0,100073,75200,9.64,,Monday,"Twenty years have passed since the Great War, but petty theft and exploitation have taken root during times of peace. The once dazzling world of Murim is a mere shadow of its former self, but one young enigmatic swordsman has sworn to restore Jianghu to its former glory. Will the noble principles of justice and loyalty prevail over corruption and greed?"
Absolute Sword Sense,action,"HANJUNG WOLYA, KDRM, TI",16699239.0,1430357,218075,9.68,,Sunday,"For as long as he can remember, Woonhwi So has been the black sheep of his family and clan. Because his spirit core has been destroyed, he has no choice but to serve as a third-rate spy for the Blood Cult.
One day, during his mission to find the legendary Blade Scroll, he is killed and sent 10 years into the past. When Woonhwi regains consciousness, he realizes that he has been sent back to the day he was kidnapped by the Blood Cult, and that he has gained a mysterious ability to hear the voice of a dagger."
